"name","Prompt"
"1","cute puppy. just Change; Skin/fur Color: Pumpkin Patch; Head: Bark Bandana; Eyes: glowing eyes; Mouth: Rainbow Drool; Body/outfit: Curly Golden Coat; Back Accesory: Angel Wings; Background Color: Nose Boop Powder"
"2","cute puppy. just Change; Skin/fur Color: Bubblegum Pink; Head: Paw Beret; Eyes: Fuzzy Rimmed Aviators; Mouth: Tongue Out; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Treat Pouch; Background Color: Watermelon Wag Pink"
"3","cute puppy. just Change; Skin/fur Color: Caramel Cream; Head: Treat Tiara; Eyes: sleepy eyes; Mouth: Puddle Pant; Body/outfit: Chef Apron; Back Accesory: Flower Saddle; Background Color: Sunny Snout Yellow"
"4","cute puppy. just Change; Skin/fur Color: Mocha Mousse; Head: Doggy Deerstalker; Eyes: Fluffy Cloud Sunglasses; Mouth: Fang Peek; Body/outfit: Fluffy White Fur; Back Accesory: Rainbow Parachute; Background Color: Furball Soft Gray"
"5","cute puppy. just Change; Skin/fur Color: Twilight Lilac; Head: Biscuit Bucket Hat; Eyes: cyber eyes; Mouth: Snuggle Smile; Body/outfit: Wizard Robe; Back Accesory: Treasure Sack; Background Color: Ear Flop Lilac"
"6","cute puppy. just Change; Skin/fur Color: Taffy Tan; Head: Yippee Yachting Cap; Eyes: Vintage Bone Aviators; Mouth: Bone Munch; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Picnic Basket; Background Color: Lavender Snuggle"
"7","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Cuddle Cloche; Eyes: sleepy eyes; Mouth: Rainbow Drool; Body/outfit: Pink Tutu Skirt; Back Accesory: Bubble Wings; Background Color: Cuddle Corner Coral"
"8","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Pupper Pirate Tricorn; Eyes: Pixel Puppy Shades; Mouth: Shiny Smile; Body/outfit: Chef Apron; Back Accesory: Flower Saddle; Background Color: Furball Soft Gray"
"9","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Treat Tiara; Eyes: glowing eyes; Mouth: Candy Lick; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Mini Rocket; Background Color: Puppy Belly Blue"
"10","cute puppy. just Change; Skin/fur Color: Honey Drizzle; Head: Treat Tiara; Eyes: Cupcake Frame Sunglasses; Mouth: Bone Munch; Body/outfit: Yellow Rain Poncho; Back Accesory: Picnic Basket; Background Color: Lemon Drop Yellow"
"11","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Pupper Pirate Tricorn; Eyes: cyber eyes; Mouth: Happy Grin; Body/outfit: Wizard Robe; Back Accesory: Butterfly Wings; Background Color: Bubblegum Bliss"
"12","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Biscuit Bucket Hat; Eyes: Confetti Lens Specs; Mouth: Wide Yawn; Body/outfit: Detective Trenchcoat; Back Accesory: Rainbow Parachute; Background Color: Cuddle Corner Coral"
"13","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Yippee Yachting Cap; Eyes: sleepy eyes; Mouth: Playful Howl; Body/outfit: Cozy Knit Scarf; Back Accesory: Heart Wings; Background Color: Watermelon Wag Pink"
"14","cute puppy. just Change; Skin/fur Color: Silver Shimmer; Head: Treat Tiara; Eyes: Starry Night Specs; Mouth: Tongue Out; Body/outfit: Pink Tutu Skirt; Back Accesory: Butterfly Wings; Background Color: Belly Rub Beige"
"15","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Leash Loop Beret; Eyes: sleepy eyes; Mouth: Happy Grin; Body/outfit: Pink Tutu Skirt; Back Accesory: Angel Wings; Background Color: Strawberry Lick Pink"
"16","cute puppy. just Change; Skin/fur Color: Mocha Mousse; Head: Furball Fascinator; Eyes: Winky Heart Specs; Mouth: Milk Mustache; Body/outfit: Birthday Party Hat; Back Accesory: Bee Wings; Background Color: Furball Soft Gray"
"17","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Puppy Pom Pom; Eyes: glowing eyes; Mouth: Happy Grin; Body/outfit: Pink Tutu Skirt; Back Accesory: Pawprint Wings; Background Color: Belly Rub Beige"
"18","cute puppy. just Change; Skin/fur Color: Rainbow Haze; Head: Fluffy Flower Crown; Eyes: Winky Heart Specs; Mouth: Wide Yawn; Body/outfit: Festive Holiday Sweater; Back Accesory: Bone Backpack; Background Color: Pastel Paw Pink"
"19","cute puppy. just Change; Skin/fur Color: Sunbeam Gold; Head: Furball Fascinator; Eyes: glowing eyes; Mouth: Drooly Grin; Body/outfit: Fairy Wing Dress; Back Accesory: Tiny Backpack; Background Color: Chocolate Nose Brown"
"20","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Nap Nest Hat; Eyes: Nerdy Square Glasses; Mouth: Cute Pout; Body/outfit: Mini Graduation Gown; Back Accesory: Heart Wings; Background Color: Pastel Paw Pink"
"21","cute puppy. just Change; Skin/fur Color: Fluffy White; Head: Floppy Earmuffs; Eyes: cyber eyes; Mouth: Wide Yawn; Body/outfit: Footie Onesie; Back Accesory: Candy Jetpack; Background Color: Fetch Ball Orange"
"22","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Floppy Earmuffs; Eyes: Fuzzy Rimmed Aviators; Mouth: Heart Drool; Body/outfit: Ballerina Leotard; Back Accesory: Bubble Wings; Background Color: Chocolate Nose Brown"
"23","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Doggy Deerstalker; Eyes: cyber eyes; Mouth: Happy Grin; Body/outfit: Hawaiian Lei Shirt; Back Accesory: Heart Wings; Background Color: Furball Soft Gray"
"24","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Fluffy Flower Crown; Eyes: Magical Paw Monocle; Mouth: Lip Lick; Body/outfit: Ballerina Leotard; Back Accesory: Bee Wings; Background Color: Chocolate Nose Brown"
"25","cute puppy. just Change; Skin/fur Color: Bubblegum Pink; Head: Puppy Crown; Eyes: cyber eyes; Mouth: Candy Lick; Body/outfit: Mini Graduation Gown; Back Accesory: Music Box; Background Color: Chocolate Nose Brown"
"26","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Woof Wizard Hat; Eyes: Sleeping Mask; Mouth: Glitter Grin; Body/outfit: Festive Holiday Sweater; Back Accesory: Flower Saddle; Background Color: Mint Fur Meadow"
"27","cute puppy. just Change; Skin/fur Color: Rainbow Haze; Head: Puppy Pom Pom; Eyes: glowing eyes; Mouth: Floppy Tongue; Body/outfit: Astronaut Jumpsuit; Back Accesory: Heart Wings; Background Color: Furball Soft Gray"
"28","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Bone Bowler; Eyes: Doodle Art Goggles; Mouth: Shiny Smile; Body/outfit: Wizard Robe; Back Accesory: Treasure Sack; Background Color: Furball Soft Gray"
"29","cute puppy. just Change; Skin/fur Color: Twilight Lilac; Head: Paw Beret; Eyes: sleepy eyes; Mouth: Wide Yawn; Body/outfit: Astronaut Jumpsuit; Back Accesory: Tiny Backpack; Background Color: Cotton Candy Purple"
"30","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Doggy Deerstalker; Eyes: Rainbow Lens Shades; Mouth: Snuggle Smile; Body/outfit: Rockstar Studded Jacket; Back Accesory: Cloud Pack; Background Color: Cotton Candy Purple"
"31","cute puppy. just Change; Skin/fur Color: Cinnamon Swirl; Head: Cuddle Cloche; Eyes: glowing eyes; Mouth: Chew Toy Grin; Body/outfit: Pink Tutu Skirt; Back Accesory: Flower Saddle; Background Color: Cuddle Corner Coral"
"32","cute puppy. just Change; Skin/fur Color: Sunbeam Gold; Head: Floppy Earmuffs; Eyes: Flower Crown Shades; Mouth: Rainbow Drool; Body/outfit: Chef Apron; Back Accesory: Balloon Harness; Background Color: Vanilla Nap White"
"33","cute puppy. just Change; Skin/fur Color: Mint Frost; Head: Paw Beret; Eyes: sleepy eyes; Mouth: Starry Grin; Body/outfit: Astronaut Jumpsuit; Back Accesory: Flower Saddle; Background Color: Tail Chase Teal"
"34","cute puppy. just Change; Skin/fur Color: Sunbeam Gold; Head: Tail Bow Headband; Eyes: Paw Print Goggles; Mouth: Wide Yawn; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Rainbow Parachute; Background Color: Bubblegum Bliss"
"35","cute puppy. just Change; Skin/fur Color: Blueberry Bliss; Head: Doggy Deerstalker; Eyes: cyber eyes; Mouth: Drooly Grin; Body/outfit: Curly Golden Coat; Back Accesory: Propeller Pack; Background Color: Tail Chase Teal"
"36","cute puppy. just Change; Skin/fur Color: Mint Frost; Head: Bone Bowler; Eyes: Golden Monocle; Mouth: Milk Mustache; Body/outfit: Detective Trenchcoat; Back Accesory: Heart Wings; Background Color: Strawberry Lick Pink"
"37","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Sparkle Snout Visor; Eyes: sleepy eyes; Mouth: Playful Howl; Body/outfit: Detective Trenchcoat; Back Accesory: Mini Rocket; Background Color: Cuddle Corner Coral"
"38","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Play Propeller Beanie; Eyes: Pixel Puppy Shades; Mouth: Playful Howl; Body/outfit: Shiny Knight Armor; Back Accesory: Butterfly Wings; Background Color: Mint Chip Meadow"
"39","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Play Propeller Beanie; Eyes: sleepy eyes; Mouth: Starry Grin; Body/outfit: Detective Trenchcoat; Back Accesory: Butterfly Wings; Background Color: Mint Fur Meadow"
"40","cute puppy. just Change; Skin/fur Color: Silver Shimmer; Head: Cuddle Cloche; Eyes: Laser Puppy Specs; Mouth: Glitter Grin; Body/outfit: Shiny Knight Armor; Back Accesory: Treasure Sack; Background Color: Pastel Paw Pink"
"41","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Yippee Yachting Cap; Eyes: glowing eyes; Mouth: Rainbow Drool; Body/outfit: Cowboy Vest; Back Accesory: Treat Pouch; Background Color: Treat Crumble Caramel"
"42","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Nap Nest Hat; Eyes: Bone Rimmed Sunglasses; Mouth: Heart Drool; Body/outfit: Detective Trenchcoat; Back Accesory: Tiny Backpack; Background Color: Belly Rub Beige"
"43","cute puppy. just Change; Skin/fur Color: Cinnamon Swirl; Head: Floppy Earmuffs; Eyes: cyber eyes; Mouth: Snuggle Smile; Body/outfit: Soccer Jersey; Back Accesory: Flower Saddle; Background Color: Chocolate Nose Brown"
"44","cute puppy. just Change; Skin/fur Color: Taffy Tan; Head: Tail Bow Headband; Eyes: Vintage Bone Aviators; Mouth: Floppy Tongue; Body/outfit: Fairy Wing Dress; Back Accesory: Lantern Saddle; Background Color: Pastel Paw Pink"
"45","cute puppy. just Change; Skin/fur Color: Mocha Mousse; Head: Paw Beret; Eyes: sleepy eyes; Mouth: Happy Grin; Body/outfit: Pirate Bandana; Back Accesory: Tiny Backpack; Background Color: Tail Chase Teal"
"46","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Snuggle Sunhat; Eyes: Paw Print Goggles; Mouth: Shiny Smile; Body/outfit: Pink Tutu Skirt; Back Accesory: Pawprint Wings; Background Color: Mint Fur Meadow"
"47","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Leash Loop Beret; Eyes: sleepy eyes; Mouth: Heart Drool; Body/outfit: Ballerina Leotard; Back Accesory: Music Box; Background Color: Ear Flop Lilac"
"48","cute puppy. just Change; Skin/fur Color: Pastel Peach; Head: Bone Beanie; Eyes: Ice Cream Cone Glasses; Mouth: Cute Pout; Body/outfit: Yellow Rain Poncho; Back Accesory: Cloud Pack; Background Color: Peach Tail Wag"
"49","cute puppy. just Change; Skin/fur Color: Caramel Cream; Head: Pawprint Pillbox; Eyes: glowing eyes; Mouth: Candy Lick; Body/outfit: Yellow Rain Poncho; Back Accesory: Bone Backpack; Background Color: Strawberry Lick Pink"
"50","cute puppy. just Change; Skin/fur Color: Blueberry Bliss; Head: Furball Fascinator; Eyes: Doodle Art Goggles; Mouth: Snuggle Smile; Body/outfit: Pink Tutu Skirt; Back Accesory: Cloud Pack; Background Color: Puppy Belly Blue"
"51","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Fluffy Flower Crown; Eyes: sleepy eyes; Mouth: Heart Drool; Body/outfit: Curly Golden Coat; Back Accesory: Flower Saddle; Background Color: Vanilla Nap White"
"52","cute puppy. just Change; Skin/fur Color: Silver Shimmer; Head: Leash Loop Beret; Eyes: Winky Heart Specs; Mouth: Petal Nibble; Body/outfit: Chef Apron; Back Accesory: Bubble Wings; Background Color: Cuddle Corner Coral"
"53","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Puppy Crown; Eyes: glowing eyes; Mouth: Candy Lick; Body/outfit: Pink Tutu Skirt; Back Accesory: Angel Wings; Background Color: Playtime Periwinkle"
"54","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Nap Nest Hat; Eyes: Magical Paw Monocle; Mouth: Drooly Grin; Body/outfit: Shiny Knight Armor; Back Accesory: Pawprint Wings; Background Color: Playtime Periwinkle"
"55","cute puppy. just Change; Skin/fur Color: Honey Drizzle; Head: Sparkle Snout Visor; Eyes: cyber eyes; Mouth: Floppy Tongue; Body/outfit: Rockstar Studded Jacket; Back Accesory: Flower Saddle; Background Color: Chocolate Nose Brown"
"56","cute puppy. just Change; Skin/fur Color: Chocolate Bliss; Head: Treat Tiara; Eyes: Laser Puppy Specs; Mouth: Wiggly Tongue; Body/outfit: Shiny Knight Armor; Back Accesory: Treasure Sack; Background Color: Fetch Ball Orange"
"57","cute puppy. just Change; Skin/fur Color: Taffy Tan; Head: Floppy Earmuffs; Eyes: cyber eyes; Mouth: Rainbow Drool; Body/outfit: Superhero Cape; Back Accesory: Tiny Backpack; Background Color: Ear Flop Lilac"
"58","cute puppy. just Change; Skin/fur Color: Fluffy White; Head: Yippee Yachting Cap; Eyes: Vintage Bone Aviators; Mouth: Petal Nibble; Body/outfit: Soccer Jersey; Back Accesory: Pawprint Wings; Background Color: Tail Chase Teal"
"59","cute puppy. just Change; Skin/fur Color: Caramel Cream; Head: Biscuit Bucket Hat; Eyes: cyber eyes; Mouth: Candy Lick; Body/outfit: Fluffy White Fur; Back Accesory: Tiny Backpack; Background Color: Lavender Snuggle"
"60","cute puppy. just Change; Skin/fur Color: Caramel Cream; Head: Yippee Yachting Cap; Eyes: Doodle Art Goggles; Mouth: Wide Yawn; Body/outfit: Rockstar Studded Jacket; Back Accesory: Cloud Pack; Background Color: Pastel Paw Pink"
"61","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Sparkle Snout Visor; Eyes: glowing eyes; Mouth: Happy Grin; Body/outfit: Superhero Cape; Back Accesory: Angel Wings; Background Color: Pastel Paw Pink"
"62","cute puppy. just Change; Skin/fur Color: Pastel Peach; Head: Doggy Deerstalker; Eyes: Heart-Shaped Specs; Mouth: Petal Nibble; Body/outfit: Wizard Robe; Back Accesory: Heart Wings; Background Color: Ear Flop Lilac"
"63","cute puppy. just Change; Skin/fur Color: Fluffy White; Head: Leash Loop Beret; Eyes: glowing eyes; Mouth: Shiny Smile; Body/outfit: Mini Graduation Gown; Back Accesory: Umbrella Cape; Background Color: Pastel Paw Pink"
"64","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Paw Beret; Eyes: Balloon Animal Shades; Mouth: Puddle Pant; Body/outfit: Pink Tutu Skirt; Back Accesory: Bubble Wings; Background Color: Chocolate Nose Brown"
"65","cute puppy. just Change; Skin/fur Color: Pastel Peach; Head: Woof Wizard Hat; Eyes: glowing eyes; Mouth: Glitter Grin; Body/outfit: Curly Golden Coat; Back Accesory: Lantern Saddle; Background Color: Lemon Drop Yellow"
"66","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Pawprint Pillbox; Eyes: Round Puppy Shades; Mouth: Snuggle Smile; Body/outfit: Curly Golden Coat; Back Accesory: Angel Wings; Background Color: Fetch Ball Orange"
"67","cute puppy. just Change; Skin/fur Color: Jet Black; Head: Doggy Deerstalker; Eyes: glowing eyes; Mouth: Lip Lick; Body/outfit: Rockstar Studded Jacket; Back Accesory: Bubble Wings; Background Color: Treat Crumble Caramel"
"68","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Tail Bow Headband; Eyes: Heart-Shaped Specs; Mouth: Candy Lick; Body/outfit: Mini Graduation Gown; Back Accesory: Mini Rocket; Background Color: Playtime Periwinkle"
"69","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Leash Loop Beret; Eyes: cyber eyes; Mouth: Playful Howl; Body/outfit: Mini Graduation Gown; Back Accesory: Lantern Saddle; Background Color: Cuddle Corner Coral"
"70","cute puppy. just Change; Skin/fur Color: Fluffy White; Head: Play Propeller Beanie; Eyes: Golden Monocle; Mouth: Wide Yawn; Body/outfit: Wizard Robe; Back Accesory: Picnic Basket; Background Color: Mint Chip Meadow"
"71","cute puppy. just Change; Skin/fur Color: Taffy Tan; Head: Doggy Deerstalker; Eyes: cyber eyes; Mouth: Wide Yawn; Body/outfit: Superhero Cape; Back Accesory: Mini Rocket; Background Color: Cotton Candy Purple"
"72","cute puppy. just Change; Skin/fur Color: Mocha Mousse; Head: Tail Bow Headband; Eyes: Candy Paw Glasses; Mouth: Snuggle Smile; Body/outfit: Ballerina Leotard; Back Accesory: Rainbow Parachute; Background Color: Nose Boop Powder"
"73","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Leash Loop Beret; Eyes: cyber eyes; Mouth: Petal Nibble; Body/outfit: Mini Graduation Gown; Back Accesory: Cloud Pack; Background Color: Puppy Belly Blue"
"74","cute puppy. just Change; Skin/fur Color: Caramel Cream; Head: Furball Fascinator; Eyes: Bubble Gum Goggles; Mouth: Panting Smile; Body/outfit: Striped Puppy Pajamas; Back Accesory: Star Cape; Background Color: Treat Crumble Caramel"
"75","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Bone Beanie; Eyes: cyber eyes; Mouth: Panting Smile; Body/outfit: Yellow Rain Poncho; Back Accesory: Pawprint Wings; Background Color: Paw Pad Pastel"
"76","cute puppy. just Change; Skin/fur Color: Sunbeam Gold; Head: Bone Bowler; Eyes: Magical Paw Monocle; Mouth: Playful Howl; Body/outfit: Wizard Robe; Back Accesory: Heart Wings; Background Color: Nose Boop Powder"
"77","cute puppy. just Change; Skin/fur Color: Taffy Tan; Head: Woof Wizard Hat; Eyes: glowing eyes; Mouth: Kissy Pout; Body/outfit: Birthday Party Hat; Back Accesory: Star Cape; Background Color: Paw Pad Pastel"
"78","cute puppy. just Change; Skin/fur Color: Honey Drizzle; Head: Pawprint Pillbox; Eyes: Bubble Gum Goggles; Mouth: Milk Mustache; Body/outfit: Mini Graduation Gown; Back Accesory: Umbrella Cape; Background Color: Belly Rub Beige"
"79","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Pupper Pirate Tricorn; Eyes: cyber eyes; Mouth: Kissy Pout; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Propeller Pack; Background Color: Fetch Ball Orange"
"80","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Play Propeller Beanie; Eyes: Rainbow Lens Shades; Mouth: Wide Yawn; Body/outfit: Cozy Knit Scarf; Back Accesory: Propeller Pack; Background Color: Watermelon Wag Pink"
"81","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Play Propeller Beanie; Eyes: glowing eyes; Mouth: Bone Munch; Body/outfit: Hawaiian Lei Shirt; Back Accesory: Candy Jetpack; Background Color: Fetch Ball Orange"
"82","cute puppy. just Change; Skin/fur Color: Honey Drizzle; Head: Fluffy Flower Crown; Eyes: Bubble Gum Goggles; Mouth: Wide Yawn; Body/outfit: Fairy Wing Dress; Back Accesory: Cloud Pack; Background Color: Mint Chip Meadow"
"83","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Floppy Earmuffs; Eyes: sleepy eyes; Mouth: Starry Grin; Body/outfit: Soccer Jersey; Back Accesory: Lantern Saddle; Background Color: Cotton Candy Purple"
"84","cute puppy. just Change; Skin/fur Color: Sunbeam Gold; Head: Woof Wizard Hat; Eyes: Rainbow Lens Shades; Mouth: Rainbow Drool; Body/outfit: Wizard Robe; Back Accesory: Butterfly Wings; Background Color: Mint Chip Meadow"
"85","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Doggie Fedora; Eyes: cyber eyes; Mouth: Milk Mustache; Body/outfit: Soccer Jersey; Back Accesory: Balloon Harness; Background Color: Chocolate Nose Brown"
"86","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Sparkle Snout Visor; Eyes: Nerdy Square Glasses; Mouth: Rainbow Drool; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Fluffy Cape; Background Color: Pastel Paw Pink"
"87","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Puppy Pom Pom; Eyes: cyber eyes; Mouth: Starry Grin; Body/outfit: Wizard Robe; Back Accesory: Bee Wings; Background Color: Paw Pad Pastel"
"88","cute puppy. just Change; Skin/fur Color: Pumpkin Patch; Head: Doggy Deerstalker; Eyes: Flower Crown Shades; Mouth: Shiny Smile; Body/outfit: Yellow Rain Poncho; Back Accesory: Music Box; Background Color: Pastel Paw Pink"
"89","cute puppy. just Change; Skin/fur Color: Vanilla Dream; Head: Nap Nest Hat; Eyes: sleepy eyes; Mouth: Starry Grin; Body/outfit: Festive Holiday Sweater; Back Accesory: Pawprint Wings; Background Color: Furball Soft Gray"
"90","cute puppy. just Change; Skin/fur Color: Lavender Haze; Head: Puppy Pom Pom; Eyes: Bone Rimmed Sunglasses; Mouth: Panting Smile; Body/outfit: Rockstar Studded Jacket; Back Accesory: Butterfly Wings; Background Color: Strawberry Lick Pink"
"91","cute puppy. just Change; Skin/fur Color: Mint Frost; Head: Bone Beanie; Eyes: glowing eyes; Mouth: Petal Nibble; Body/outfit: Ballerina Leotard; Back Accesory: Propeller Pack; Background Color: Strawberry Lick Pink"
"92","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Bark Bandana; Eyes: Golden Monocle; Mouth: Happy Grin; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Butterfly Wings; Background Color: Mint Fur Meadow"
"93","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Woof Wizard Hat; Eyes: sleepy eyes; Mouth: Starry Grin; Body/outfit: Ballerina Leotard; Back Accesory: Lantern Saddle; Background Color: Blueberry Bounce"
"94","cute puppy. just Change; Skin/fur Color: Pumpkin Patch; Head: Fluffy Flower Crown; Eyes: Heart-Shaped Specs; Mouth: Fang Peek; Body/outfit: Yellow Rain Poncho; Back Accesory: Heart Wings; Background Color: Peach Tail Wag"
"95","cute puppy. just Change; Skin/fur Color: Candy Fluff; Head: Biscuit Bucket Hat; Eyes: glowing eyes; Mouth: Glitter Grin; Body/outfit: Bowtie Collar; Back Accesory: Bee Wings; Background Color: Bubblegum Bliss"
"96","cute puppy. just Change; Skin/fur Color: Rainbow Haze; Head: Woof Wizard Hat; Eyes: Starry Night Specs; Mouth: Shiny Smile; Body/outfit: Cozy Knit Scarf; Back Accesory: Treat Pouch; Background Color: Bubblegum Bliss"
"97","cute puppy. just Change; Skin/fur Color: Marshmallow White; Head: Nap Nest Hat; Eyes: glowing eyes; Mouth: Petal Nibble; Body/outfit: Wizard Robe; Back Accesory: Angel Wings; Background Color: Mint Chip Meadow"
"98","cute puppy. just Change; Skin/fur Color: Golden Glow; Head: Bark Bandana; Eyes: Paw Print Goggles; Mouth: Drooly Grin; Body/outfit: Bowtie Collar; Back Accesory: Cupcake Carrier; Background Color: Sunny Snout Yellow"
"99","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Sparkle Snout Visor; Eyes: sleepy eyes; Mouth: Happy Grin; Body/outfit: Chef Apron; Back Accesory: Heart Wings; Background Color: Watermelon Wag Pink"
"100","cute puppy. just Change; Skin/fur Color: Strawberry Blonde; Head: Doggie Fedora; Eyes: Paw Print Goggles; Mouth: Wiggly Tongue; Body/outfit: Pirate Bandana; Back Accesory: Heart Wings; Background Color: Blueberry Bounce"
"101","cute puppy. just Change; Skin/fur Color: Pumpkin Patch; Head: Play Propeller Beanie; Eyes: glowing eyes; Mouth: Lip Lick; Body/outfit: Rockstar Studded Jacket; Back Accesory: Bee Wings; Background Color: Vanilla Nap White"
"102","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Bark Bandana; Eyes: Paw Print Goggles; Mouth: Panting Smile; Body/outfit: Footie Onesie; Back Accesory: Cupcake Carrier; Background Color: Pastel Paw Pink"
"103","cute puppy. just Change; Skin/fur Color: Mint Frost; Head: Pawprint Pillbox; Eyes: cyber eyes; Mouth: Milk Mustache; Body/outfit: Bowtie Collar; Back Accesory: Picnic Basket; Background Color: Fluffy Cloud Cream"
"104","cute puppy. just Change; Skin/fur Color: Marshmallow White; Head: Doggy Deerstalker; Eyes: Balloon Animal Shades; Mouth: Snuggle Smile; Body/outfit: Yellow Rain Poncho; Back Accesory: Butterfly Wings; Background Color: Lavender Snuggle"
"105","cute puppy. just Change; Skin/fur Color: Marshmallow White; Head: Treat Tiara; Eyes: glowing eyes; Mouth: Playful Howl; Body/outfit: Soccer Jersey; Back Accesory: Cupcake Carrier; Background Color: Furball Soft Gray"
"106","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Doggie Fedora; Eyes: Winky Heart Specs; Mouth: Rainbow Drool; Body/outfit: Astronaut Jumpsuit; Back Accesory: Fairy Wings; Background Color: Blueberry Bounce"
"107","cute puppy. just Change; Skin/fur Color: Chocolate Bliss; Head: Treat Tiara; Eyes: sleepy eyes; Mouth: Shiny Smile; Body/outfit: Pirate Bandana; Back Accesory: Flower Saddle; Background Color: Lavender Snuggle"
"108","cute puppy. just Change; Skin/fur Color: Lemon Zest; Head: Treat Tiara; Eyes: Confetti Lens Specs; Mouth: Playful Howl; Body/outfit: Hawaiian Lei Shirt; Back Accesory: Bee Wings; Background Color: Cotton Candy Purple"
"109","cute puppy. just Change; Skin/fur Color: Pebble Gray; Head: Floppy Earmuffs; Eyes: cyber eyes; Mouth: Snuggle Smile; Body/outfit: Spotted Dalmatian Coat; Back Accesory: Cupcake Carrier; Background Color: Puppy Belly Blue"
"110","cute puppy. just Change; Skin/fur Color: Rainbow Haze; Head: Tail Bow Headband; Eyes: Doodle Art Goggles; Mouth: Tongue Out; Body/outfit: Cozy Knit Scarf; Back Accesory: Flower Saddle; Background Color: Peach Tail Wag"
"111","cute puppy. just Change; Skin/fur Color: Fluffy White; Head: Woof Wizard Hat; Eyes: sleepy eyes; Mouth: Lip Lick; Body/outfit: Hawaiian Lei Shirt; Back Accesory: Balloon Harness; Background Color: Chocolate Nose Brown"